MZUEUQRT;MZ;UEU;QRT;estq_max_01;estq_max_02;estq_max_03;estq_max_04;estq_max_05;estq_max_06;estq_max_07;estq_max_08;estq_max_09;estq_max_10;estq_max_11;estq_max_12;estq_max_13;estq_max_14;estq_max_15;estq_max_16
1052045;1.0;52.0;45.0;1446.4253;1446.4253;1446.4253;1446.4253;1446.4253;1446.4253;1446.4253;1446.4253;1446.4253;1446.4253;1446.4253;2698.24;2698.24;2698.24;2698.24;2698.24
1052049;1.0;52.0;49.0;1064.508;1064.508;1064.508;1064.508;1064.508;1064.508;1064.508;1064.508;1064.508;1064.508;1064.508;2059.78;2059.78;2059.78;2059.78;2059.78
1052051;1.0;52.0;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;836.52;836.52;836.52;836.52;836.52
1052053;1.0;52.0;53.0;1219.2229;1219.2229;1219.2229;1219.2229;1219.2229;1219.2229;1219.2229;1219.2229;1219.2229;1219.2229;1219.2229;2065.57;2065.57;2065.57;2065.57;2065.57
1052055;1.0;52.0;55.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;498.49;498.49;498.49;498.49;498.49
1052057;1.0;52.0;57.0;1055.7636;1055.7636;1055.7636;1055.7636;1055.7636;1055.7636;1055.7636;1055.7636;658.1539;658.1539;658.1539;2826.1203;2826.1203;2826.1203;2826.1203;2826.1203
1052059;1.0;52.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052065;1.0;52.0;65.0;762.7483;762.7483;762.7483;762.7483;762.7483;762.7483;762.7483;762.7483;762.7483;762.7483;762.7483;2688.89;2688.89;2688.89;2688.89;2688.89
1052067;1.0;52.0;67.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.78;55.78;55.78;55.78;55.78
1052069;1.0;52.0;69.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;459.5;459.5;459.5;459.5;459.5
1052071;1.0;52.0;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;114.11;114.11;114.11;114.11;114.11
1052073;1.0;52.0;73.0;2341.9983;2341.9983;2341.9983;2341.9983;2341.9983;2341.9983;2341.9983;2341.9983;2341.9983;2341.9983;2341.9983;3211.35;3211.35;3211.35;3211.35;3211.35
1052075;1.0;52.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052079;1.0;52.0;79.0;1835.3915;1835.3915;1835.3915;1835.3915;1835.3915;1835.3915;1835.3915;1835.3915;1835.3915;1835.3915;1835.3915;2523.05;2523.05;2523.05;2523.05;2523.05
1052081;1.0;52.0;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052083;1.0;52.0;83.0;1113.2505;1113.2505;1113.2505;1113.2505;1113.2505;1113.2505;1113.2505;1113.2505;1113.2505;1113.2505;1113.2505;2074.71;2074.71;2074.71;2074.71;2074.71
1052085;1.0;52.0;85.0;4229.4978;4229.4978;4229.4978;4229.4978;4229.4978;4229.4978;4229.4978;4229.4978;4229.4978;4229.4978;4229.4978;8166.1;8166.1;8166.1;8166.1;8166.1
1052091;1.0;52.0;91.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;677.48;677.48;677.48;677.48;677.48
1052093;1.0;52.0;93.0;60.987;60.987;60.987;60.987;60.987;60.987;60.987;60.987;60.987;60.987;60.987;1235.46;1235.46;1235.46;1235.46;1235.46
1052095;1.0;52.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052099;1.0;52.0;99.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;510.8;510.8;510.8;510.8;510.8
1052101;1.0;52.0;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052103;1.0;52.0;103.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052105;1.0;52.0;105.0;1244.382;1244.382;1244.382;1244.382;1244.382;1244.382;1244.382;1244.382;1244.382;1244.382;1244.382;3057.71;3057.71;3057.71;3057.71;3057.71
1052107;1.0;52.0;107.0;1841.9729;1841.9729;1841.9729;1841.9729;1841.9729;1841.9729;1841.9729;1841.9729;1841.9729;1841.9729;1841.9729;4946.56;4946.56;4946.56;4946.56;4946.56
1052109;1.0;52.0;109.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;207.65;207.65;207.65;207.65;207.65
